math,science,english,interest,career
85,90,80,engineering,Engineer
95,94,89,engineering,Engineer
90,85,88,engineering,Engineer
60,65,70,commerce,Accountant
58,60,66,commerce,Accountant
65,67,68,commerce,Accountant
75,78,80,arts,Teacher
70,72,76,arts,Teacher
68,65,70,arts,Artist
92,88,85,medical,Doctor
89,87,84,medical,Doctor
91,90,88,medical,Doctor
55,52,60,law,Lawyer
50,55,58,law,Lawyer
53,57,62,law,Lawyer
87,89,92,engineering,Engineer
76,78,74,engineering,Engineer
60,61,70,arts,Journalist
59,63,65,arts,Artist
62,66,64,commerce,Auditor
85,83,88,medical,Doctor
48,50,55,law,Lawyer
67,70,68,arts,Teacher
71,74,77,arts,Teacher
95,97,96,engineering,Engineer
68,70,73,commerce,Accountant
72,75,78,commerce,Manager
64,60,62,law,Lawyer
87,85,90,medical,Doctor
55,58,57,arts,Artist
